"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","bullet","forest","span","crosscutdist"
"Ukn Bullet B-1","Br3 Bullet 2-1",0.337314397680218,134,2.14657262530034,2.01289172332701,175,125,3,13,5,5.18521748956199,2,"data-35-25/unkn1.RData",43,17,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br2 Bullet 1-1",0.341284656618476,317,1.28453135809362,1.6547511081605,150,125,10,11,7,7.50983039845423,8,"data-35-25/unkn1.RData",25,7,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0087719298245614,35,25
"Ukn Bullet B-1","Br9 Bullet 2-2",0.38067844436017,399,2.61887038258042,2.24460547576102,175,125,3,11,8,3.03766784902779,3,"data-35-25/unkn1.RData",116,49,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br4 Bullet 2-4",0.718782030045296,204,0.135994672435516,0.931860707070263,175,125,8,10,6,4.82466529183554,3,"data-35-25/unkn1.RData",58,38,38,TRUE,1,"Ukn Bullet B",0.432432432432432,35,25
"Ukn Bullet B-1","Br4 Bullet 1-2",0.880648251166912,202,0.0430427476807821,0.885993998026116,125,125,8,11,7,4.57693351724345,6,"data-35-25/unkn1.RData",50,38,38,TRUE,1,"Ukn Bullet B",0.809917355371901,35,25
"Ukn Bullet B-1","Br8 Bullet 2-2",0.271662641671268,43,3.52032601136189,2.35340098962686,175,125,2,15,9,2.14171162406822,1,"data-35-25/unkn1.RData",104,44,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.00833333333333333,35,25
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452604567399955,49,1.62678438450017,1.8466463146622,150,125,2,17,7,2.97077476141126,1,"data-35-25/unkn1.RData",62,20,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br10 Bullet 1-6",0.189586507061579,10,1.58651323392371,1.81311801890227,200,125,4,10,4,3.92269585670698,2,"data-35-25/unkn1.RData",18,60,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337062062,242,1.47425393025907,1.67414899429498,150,125,3,11,6,2.77736490403816,2,"data-35-25/unkn1.RData",64,22,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br3 Bullet 2-6",0.343786718267957,1,3.08087904724137,2.3723410851163,125,125,4,12,5,2.48070090782669,2,"data-35-25/unkn1.RData",48,16,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0666666666666667,35,25
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694569,119,0.903835345289915,1.45813150396397,175,125,3,13,6,2.84712071117457,2,"data-35-25/unkn1.RData",37,13,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br4 Bullet 1-6",0.232458653197459,7,2.08092361882164,2.11657214916188,100,125,2,15,8,1.98661516804186,1,"data-35-25/unkn1.RData",54,42,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br10 Bullet 2-1",0.26615155769105,110,0.967835711671362,1.52251914237689,150,125,6,13,3,5.60273012678585,3,"data-35-25/unkn1.RData",19,59,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0087719298245614,35,25
"Ukn Bullet B-1","Br6 Bullet 1-1",0.277758386581952,309,5.38857284391763,2.82541502068584,175,125,2,13,9,3.97951561070099,1,"data-35-25/unkn1.RData",73,25,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br10 Bullet 2-6",0.305883564887618,211,1.57002834961832,1.76171762734325,125,125,2,16,9,2.88439209245945,2,"data-35-25/unkn1.RData",24,58,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br7 Bullet 1-1",0.317798951804044,377,2.55158055279253,2.09997292451009,125,125,7,10,5,8.80872310010003,4,"data-35-25/unkn1.RData",85,31,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.00900900900900901,35,25
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708172001,361,0.920510004419453,1.39245156416904,100,125,5,15,6,3.61820434832826,2,"data-35-25/unkn1.RData",12,4,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br9 Bullet 2-1",0.314175094317971,203,1.90193330915051,1.90402619582405,175,125,0,12,12,0,0,"data-35-25/unkn1.RData",115,54,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br7 Bullet 2-6",0.257133476089247,304,0.728818186869991,1.38120990640944,100,125,3,14,9,1.85482948497246,2,"data-35-25/unkn1.RData",96,35,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
"Ukn Bullet B-1","Br10 Bullet 1-3",0.23935110846537,139,7.45161911194368,3.15741121999874,350,125,5,8,4,11.1385321743647,2,"data-35-25/unkn1.RData",15,57,38,FALSE,0.00452147701582517,"Ukn Bullet B",0.0186915887850467,35,25
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176451,227,3.82205916761076,2.44613830692869,100,125,2,12,11,2.51040092557116,1,"data-35-25/unkn1.RData",108,48,38,FALSE,0.00452147701582517,"Ukn Bullet B",0,35,25
