"bulletland","x","sd","ccf","bullet","land","meantree","meanforest","maxtree","maxforest","foundmatch"
"Ukn Bullet B-1",450,0.956996468741883,0.95603002577407,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",475,1.04426875133198,0.960060150939494,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-1",500,1.04038062850466,NA,"Ukn Bullet B","1",1,0.621174893902167,1,0.809917355371901,TRUE
"Ukn Bullet B-2",25,1.02966293670601,0.660885584879068,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",50,1.20074693620112,0.516762893278822,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",75,1.13509543506672,0.794917833505735,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",100,1.51823148526989,0.419004252910846,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",125,0.525577797028734,0.48427195603085,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",150,0.557112051852263,0.6268335511488,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",175,0.714588520924369,0.701535469286783,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",200,1.1904521279363,0.701473141079299,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",225,1.49326929759134,0.729560904652381,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",250,1.81272345984802,0.869908815603924,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",275,1.93422788200748,0.867879445893888,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",300,1.95837019242404,0.282277782327404,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",325,1.64054014021394,0.846944290621256,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
