"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID","id.x","id.y","match","span","forest"
"Ukn Bullet B-1","Br4 Bullet 1-2",0.880648251166912,202,0.0430427476807821,0.885993998026116,125,125,18,13,8,4,4,0,0,2,2,7.23653021417906,"data-new-25-25/unkn1.RData",50,38,38,TRUE,25,0.983606557377049
"Ukn Bullet B-1","Br8 Bullet 2-2",0.271662641671268,43,3.52032601136189,2.35340098962686,175,125,7,22,2,1,6,0,0,6,6,6.87940958769596,"data-new-25-25/unkn1.RData",104,44,38,FALSE,25,0.00925925925925926
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452604567399955,49,1.62678438450017,1.8466463146622,150,125,2,25,1,0,13,0,0,13,5,2.82316245922557,"data-new-25-25/unkn1.RData",62,20,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-6",0.189586507061579,10,1.58651323392371,1.81311801890227,200,125,3,17,1,1,9,0,0,2,3,1.45773741401748,"data-new-25-25/unkn1.RData",18,60,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337062062,242,1.47425393025907,1.67414899429498,150,125,1,15,1,1,12,0,0,12,3,0.826761244751442,"data-new-25-25/unkn1.RData",64,22,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 2-6",0.343786718267957,1,3.08087904724137,2.3723410851163,125,125,2,27,1,1,22,0,0,4,22,1.08897788956389,"data-new-25-25/unkn1.RData",48,16,38,FALSE,25,0.0485436893203883
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694569,119,0.903835345289915,1.45813150396397,175,125,6,21,3,2,11,0,0,11,2,5.44590177443599,"data-new-25-25/unkn1.RData",37,13,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 1-6",0.232458653197459,7,2.08092361882164,2.11657214916188,100,125,0,20,0,0,20,0,0,20,20,0,"data-new-25-25/unkn1.RData",54,42,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 2-1",0.26615155769105,110,0.967835711671362,1.52251914237689,150,125,4,21,2,1,9,0,0,6,2,4.35555993813757,"data-new-25-25/unkn1.RData",19,59,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 1-1",0.277758386581952,309,5.38857284391763,2.82541502068584,175,125,2,22,1,1,12,0,0,12,2,2.26241911201721,"data-new-25-25/unkn1.RData",73,25,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 2-6",0.305883564887618,211,1.57002834961832,1.76171762734325,125,125,3,22,2,1,11,0,0,9,2,4.06633244856212,"data-new-25-25/unkn1.RData",24,58,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-1",0.317798951804044,377,2.55158055279253,2.09997292451009,125,125,3,16,3,2,10,0,0,6,10,3.98066025898351,"data-new-25-25/unkn1.RData",85,31,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708172001,361,0.920510004419453,1.39245156416904,100,125,4,24,3,1,10,0,0,9,5,4.01158967538176,"data-new-25-25/unkn1.RData",12,4,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 2-1",0.314175094317971,203,1.90193330915051,1.90402619582405,175,125,6,17,3,1,11,0,2,11,0,7.19571256258212,"data-new-25-25/unkn1.RData",115,54,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 2-6",0.257133476089247,304,0.728818186869991,1.38120990640944,100,125,1,23,1,0,17,0,0,6,17,0.29017176140816,"data-new-25-25/unkn1.RData",96,35,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-3",0.23935110846537,139,7.45161911194368,3.15741121999874,350,125,1,19,1,0,18,0,0,18,1,3.01982807510147,"data-new-25-25/unkn1.RData",15,57,38,FALSE,25,0.0105263157894737
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176451,227,3.82205916761076,2.44613830692869,100,125,9,15,3,2,4,0,1,2,0,12.8247641239236,"data-new-25-25/unkn1.RData",108,48,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 2-3",0.192574793357878,83,2.27700027050908,2.49465768632721,200,125,6,27,3,2,12,0,0,12,10,4.08294676009713,"data-new-25-25/unkn1.RData",81,30,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 2-1",0.301339782738936,237,0.389236301926836,1.0585358573007,150,125,5,14,2,1,7,1,0,0,2,2.66301132458912,"data-new-25-25/unkn1.RData",67,23,38,FALSE,25,0.0153846153846154
"Ukn Bullet B-1","Br1 Bullet 2-1",0.449654858823215,88,1.4683191166328,1.80486889002933,100,125,4,16,4,2,8,0,0,8,8,3.97410860436179,"data-new-25-25/unkn1.RData",7,5,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 1-5",0.231315314760635,236,0.391440908572761,0.993620189957217,175,125,10,15,5,2,6,0,0,5,1,5.24718778828304,"data-new-25-25/unkn1.RData",65,23,38,FALSE,25,0.0338983050847458
"Ukn Bullet B-1","Br3 Bullet 1-6",0.369544400514176,85,0.510508662329975,1.16118689397917,125,125,2,23,1,1,12,0,0,12,4,1.22459049454193,"data-new-25-25/unkn1.RData",42,18,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 1-3",0.307484281634216,130,1.11393326342065,1.55299966171094,225,125,2,22,1,1,10,0,0,10,2,1.72507902910123,"data-new-25-25/unkn1.RData",75,27,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 1-2",0.325430004774102,243,2.03100526547649,1.9152519662713,125,125,4,16,1,1,7,0,0,1,7,3.01869512999623,"data-new-25-25/unkn1.RData",38,14,38,FALSE,25,0
"Ukn Bullet B-1","Br10 Bullet 1-2",0.320563606126876,254,0.994936128304369,1.5613708797169,175,125,6,22,2,1,6,0,0,6,4,4.37125854254164,"data-new-25-25/unkn1.RData",14,56,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-6",0.419087106213742,43,0.394963040782059,1.10647383846937,100,125,4,28,2,1,13,0,0,6,8,1.92731977396069,"data-new-25-25/unkn1.RData",90,36,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 2-2",0.194306741905922,75,0.771370646559569,1.27385250741806,175,125,7,23,4,2,8,0,0,8,8,4.77537961535104,"data-new-25-25/unkn1.RData",44,18,38,FALSE,25,0
"Ukn Bullet B-1","Br4 Bullet 2-3",0.337546247225689,53,2.16301170054024,2.127799278321,150,125,2,27,2,1,21,0,0,21,6,2.52751911422396,"data-new-25-25/unkn1.RData",57,37,38,FALSE,25,0
"Ukn Bullet B-1","Br1 Bullet 2-5",0.372392788840212,195,1.70853859188673,1.86194114682202,125,125,4,19,2,1,11,0,1,11,0,4.31943156016584,"data-new-25-25/unkn1.RData",11,3,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 2-3",0.269072360269623,158,3.28352746009972,2.66967413048952,250,125,2,16,2,1,9,0,0,7,9,1.85494946089114,"data-new-25-25/unkn1.RData",105,45,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 2-2",0.395267293350962,64,1.55034270524155,1.75096510640275,200,125,14,18,9,4,10,0,0,10,3,9.52518340893913,"data-new-25-25/unkn1.RData",80,29,38,FALSE,25,0.0425531914893617
