"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br9 Bullet 1-3",0.310938752353413,117,1.61805108068094,1.75373231977789,125,125,6,20,11,5.79041899718595,3,"data-25-25/unkn1.RData",111,51,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-6",0.25713347608914,304,0.728818186870163,1.38120990640949,100,125,1,23,17,0.290171761408189,1,"data-25-25/unkn1.RData",96,35,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-3",0.229167695892471,267,2.96045325802289,2.21806054350466,150,125,8,15,4,6.39421991357611,5,"data-25-25/unkn1.RData",93,32,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-6",0.190739706514026,1,3.05929501021532,2.13916300425132,125,125,7,21,7,9.01849124170942,4,"data-25-25/unkn1.RData",30,12,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-6",0.239299832749838,180,0.545869644822517,1.14052396221346,175,125,8,22,10,4.12400294172654,2,"data-25-25/unkn1.RData",120,53,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-6",0.284274991564945,288,1.3195042852064,1.81692028624077,175,125,6,23,9,5.21531761659361,2,"data-25-25/unkn1.RData",36,11,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-5",0.411154458018939,71,1.90237704048151,1.92769848396566,100,125,5,19,10,4.69205318583638,4,"data-25-25/unkn1.RData",5,5,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-1",0.460577706082802,37,0.439671610309881,1.17808098902601,150,125,5,25,12,3.65797853024421,3,"data-25-25/unkn1.RData",91,36,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-2",0.329174365378182,374,1.62812530529591,1.76310479724732,200,125,3,14,9,2.96237051580761,3,"data-25-25/unkn1.RData",92,31,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-1",0.337314397680174,134,2.14657262530021,2.01289172332695,175,125,2,22,9,4.21928405102354,1,"data-25-25/unkn1.RData",43,17,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
