"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452604567399955,49,1.62678438450017,1.8466463146622,150,125,3,41,20,3.52075860002903,1,"data-15-25/unkn1.RData",62,20,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-6",0.189586507061579,10,1.58651323392371,1.81311801890227,200,125,5,32,10,4.5058863822881,2,"data-15-25/unkn1.RData",18,60,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-4",0.210328337062062,242,1.47425393025907,1.67414899429498,150,125,3,26,19,1.72041790470902,2,"data-15-25/unkn1.RData",64,22,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-6",0.343786718267957,1,3.08087904724137,2.3723410851163,125,125,4,37,12,7.19367927629973,1,"data-15-25/unkn1.RData",48,16,38,FALSE,0.00405087140838436,0.0614035087719298,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-1",0.351396689694569,119,0.903835345289915,1.45813150396397,175,125,7,29,10,6.09333826454221,3,"data-15-25/unkn1.RData",37,13,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-6",0.232458653197459,7,2.08092361882164,2.11657214916188,100,125,6,25,11,6.40001751469425,3,"data-15-25/unkn1.RData",54,42,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-1",0.26615155769105,110,0.967835711671362,1.52251914237689,150,125,2,32,17,0.574054330337145,1,"data-15-25/unkn1.RData",19,59,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-1",0.277758386581952,309,5.38857284391763,2.82541502068584,175,125,6,32,15,6.6567752538198,4,"data-15-25/unkn1.RData",73,25,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-6",0.305883564887618,211,1.57002834961832,1.76171762734325,125,125,7,30,17,6.37567670304657,2,"data-15-25/unkn1.RData",24,58,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-1",0.317798951804044,377,2.55158055279253,2.09997292451009,125,125,5,30,15,8.57062569562456,3,"data-15-25/unkn1.RData",85,31,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
