"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br6 Bullet 1-2",0.299786980746537,75,1.33547634347689,1.85459786627546,150,125,4,24,12,2.93803445812304,3,"data-20-25/unkn1.RData",74,26,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-3",0.418171113110595,117,0.912851405840575,1.49984140899342,175,125,7,23,8,5.37395640955139,2,"data-20-25/unkn1.RData",45,13,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-2",0.401224343788844,108,1.39631831770074,1.89648928386563,150,125,12,18,6,10.4753392604157,5,"data-20-25/unkn1.RData",26,8,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 1-4",0.1937818320359,161,7.619222861277,3.21045104841556,350,125,6,27,20,3.21604870814712,2,"data-20-25/unkn1.RData",40,16,38,FALSE,20,0.00468911188220951,0.0540540540540541
"Ukn Bullet B-1","Br7 Bullet 1-2",0.317182787338049,269,1.66694936960121,1.81472098494443,150,125,6,22,14,5.27050386770466,4,"data-20-25/unkn1.RData",86,32,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 1-2",0.320563606126902,254,0.994936128304341,1.56137087971691,175,125,4,22,8,3.01450675808045,2,"data-20-25/unkn1.RData",14,56,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-3",0.337546247225669,53,2.16301170054039,2.127799278321,150,125,3,29,15,2.72507075088854,2,"data-20-25/unkn1.RData",57,37,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 1-4",0.23207795621439,288,1.5716831661112,1.72819295941271,150,125,3,23,14,3.45164100220562,3,"data-20-25/unkn1.RData",112,52,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br4 Bullet 2-2",0.326050056919401,102,5.22709130590575,2.86790793444721,175,125,3,23,15,5.84729224373678,1,"data-20-25/unkn1.RData",56,42,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 1-4",0.163349835456864,270,1.25044840067596,1.52558864850549,225,125,1,26,14,0.884818680838436,1,"data-20-25/unkn1.RData",76,28,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br8 Bullet 2-5",0.309969268831585,243,4.30900437275548,2.63116019059056,125,125,0,28,28,0,0,"data-20-25/unkn1.RData",107,47,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 1-3",0.239351108465279,139,7.45161911194434,3.15741121999876,350,125,4,25,20,9.82832333780734,2,"data-20-25/unkn1.RData",15,57,38,FALSE,20,0.00468911188220951,0.0458715596330275
"Ukn Bullet B-1","Br9 Bullet 2-5",0.184318181743968,183,1.50912038624947,1.68814071560424,100,125,10,16,6,6.19808880529976,3,"data-20-25/unkn1.RData",119,52,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 2-5",0.299187149864858,158,1.52666580074608,1.79617770075439,250,125,2,21,10,1.93952941818409,1,"data-20-25/unkn1.RData",23,57,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 1-1",0.273552379399195,226,0.685129696624471,1.29970123477589,200,125,4,21,20,3.5317852150014,3,"data-20-25/unkn1.RData",13,55,38,FALSE,20,0.00468911188220951,0.0111111111111111
